barcode,customer_id,crop_type,sample_date
PYB6134-404166,CUST-CE8B39,Soybeans,2026-01-07
PYB8638-328304,CUST-98F93C,Grapes,2026-09-15
PYB7141-642256,CUST-A80821,Corn,2026-11-13
PYB8317-560267,CUST-98F93C,Cotton,2026-01-07
PYB3773-822651,CUST-526611,Tomatoes,2026-06-29
PYB7170-777546,CUST-D4316A,Soybeans,2026-09-22
PYB2754-450121,CUST-B2DB85,Almonds,2026-10-13
PYB3654-750655,CUST-E15EC2,Wheat,2026-12-06
PYB5405-725033,CUST-BB594D,Wheat,2026-09-21
PYB8123-870270,CUST-BB594D,Strawberries,2026-12-02
PYB7282-351547,CUST-D4316A,Tomatoes,2026-12-29
PYB8533-372130,CUST-5E9787,Almonds,2026-12-05
PYB0066-646184,CUST-9565EE,Corn,2026-06-09
PYB8146-441322,CUST-BB594D,Tomatoes,2026-05-29
PYB6553-803138,CUST-A80821,Tomatoes,2026-06-06
PYB3846-426827,CUST-4B2240,Blueberries,2026-12-14
PYB2674-620048,CUST-651F99,Soybeans,2026-04-13
PYB1461-627541,CUST-98F93C,Rice,2026-10-02
PYB4706-465325,CUST-0FDB3C,Soybeans,2026-08-17
PYB1505-506370,CUST-CD4644,Grapes,2026-01-23
PYB1412-516015,CUST-5B04C7,Corn,2026-06-27
PYB7128-854355,CUST-3391E5,Strawberries,2026-03-13
PYB2018-344700,CUST-526611,Grapes,2026-09-23
PYB2464-381544,CUST-BB594D,Strawberries,2026-06-13
PYB7282-447320,CUST-D823A9,Rice,2026-05-11
PYB3708-412420,CUST-166971,Strawberries,2026-01-24
PYB5612-256686,CUST-CE8B39,Grapes,2026-02-17
PYB2058-822014,CUST-E15EC2,Strawberries,2026-10-06
PYB4327-478218,CUST-0FDB3C,Corn,2026-11-11
PYB5254-828811,CUST-651F99,Grapes,2026-04-17
PYB4023-881806,CUST-9565EE,Rice,2026-10-30
PYB7828-144206,CUST-651F99,Tomatoes,2026-07-21
PYB3533-706632,CUST-B2DB85,Rice,2026-05-09
PYB0882-010781,CUST-526611,Cotton,2026-06-14
PYB6135-670122,CUST-0E5988,Almonds,2026-09-09
PYB8628-443180,CUST-B2DB85,Tomatoes,2026-11-28
PYB1221-068124,CUST-5B04C7,Soybeans,2026-06-29
PYB8665-317706,CUST-E15EC2,Strawberries,2026-05-07
PYB0671-315803,CUST-E15EC2,Blueberries,2026-10-05
PYB8214-452842,CUST-E15EC2,Almonds,2026-07-11
PYB8840-541570,CUST-D4316A,Rice,2026-05-23
PYB6163-081518,CUST-0E5988,Soybeans,2026-06-17
PYB6734-577050,CUST-5B04C7,Blueberries,2026-07-15
PYB2727-423465,CUST-98F93C,Almonds,2026-02-21
PYB8765-231383,CUST-98F93C,Grapes,2026-01-22
PYB1587-244222,CUST-9565EE,Corn,2026-08-31
PYB8677-807045,CUST-5B04C7,Grapes,2026-03-05
PYB3117-228188,CUST-0E5988,Grapes,2026-07-14
PYB5112-514140,CUST-D4316A,Rice,2026-10-13
PYB6011-703546,CUST-526611,Tomatoes,2026-03-20
PYB5877-730568,CUST-5E9787,Corn,2026-05-20
PYB6551-008723,CUST-9565EE,Corn,2026-12-24
PYB4233-660487,CUST-5B04C7,Soybeans,2026-01-13
PYB7608-678205,CUST-CE8B39,Wheat,2026-10-03
PYB4028-325527,CUST-651F99,Strawberries,2026-03-03
PYB5127-005324,CUST-D823A9,Soybeans,2026-11-27
PYB1325-680225,CUST-166971,Soybeans,2026-05-31
PYB4786-108820,CUST-3391E5,Corn,2026-01-03
PYB6575-670171,CUST-B2DB85,Tomatoes,2026-09-20
PYB1611-045685,CUST-CD4644,Grapes,2026-02-23
PYB6132-082430,CUST-0E5988,Wheat,2026-05-13
PYB8103-181220,CUST-D4316A,Almonds,2026-07-03
PYB0420-223826,CUST-B62913,Wheat,2026-09-29
PYB6044-414185,CUST-B2DB85,Strawberries,2026-06-02
PYB0486-281218,CUST-B62913,Corn,2026-11-10
PYB6462-078005,CUST-9565EE,Wheat,2026-06-25
PYB0682-273207,CUST-0E5988,Cotton,2026-05-05
PYB8071-133761,CUST-3391E5,Strawberries,2026-05-04
PYB5752-144301,CUST-166971,Almonds,2026-10-20
PYB4853-866564,CUST-0FDB3C,Corn,2026-08-31
PYB5568-260485,CUST-5B04C7,Cotton,2026-02-16
PYB2533-251386,CUST-D4316A,Wheat,2026-10-01
PYB3808-378556,CUST-B2DB85,Tomatoes,2026-06-01
PYB2134-625008,CUST-CD4644,Rice,2026-05-08
PYB7724-626633,CUST-0FDB3C,Rice,2026-02-05
PYB2788-637282,CUST-98F93C,Wheat,2026-12-31
PYB3003-407182,CUST-CD4644,Cotton,2026-01-20
PYB3176-005701,CUST-3391E5,Cotton,2026-12-30
PYB4020-463234,CUST-4B2240,Rice,2026-01-24
PYB1118-612317,CUST-D4316A,Rice,2026-07-04
PYB8202-573220,CUST-9565EE,Tomatoes,2026-02-08
PYB0350-188545,CUST-166971,Corn,2026-06-29
PYB3136-565057,CUST-E15EC2,Corn,2026-11-02
PYB5527-424186,CUST-98F93C,Corn,2026-08-04
PYB2703-506751,CUST-526611,Blueberries,2026-07-18
PYB6365-000020,CUST-5E9787,Blueberries,2026-02-13
PYB8812-655856,CUST-0E5988,Strawberries,2026-12-12
PYB4424-831578,CUST-0FDB3C,Soybeans,2026-05-18
PYB4723-326721,CUST-5B04C7,Corn,2026-07-16
PYB7782-667784,CUST-5B04C7,Soybeans,2026-11-24
PYB0177-032254,CUST-9565EE,Grapes,2026-08-18
PYB4356-013388,CUST-E15EC2,Corn,2026-09-26
PYB5004-551745,CUST-98F93C,Grapes,2026-03-09
PYB0742-230877,CUST-651F99,Strawberries,2026-06-17
PYB3544-546018,CUST-0E5988,Soybeans,2026-07-17
PYB7734-026341,CUST-D4316A,Blueberries,2026-03-06
PYB4655-822548,CUST-0FDB3C,Cotton,2026-05-21
PYB0134-843134,CUST-B62913,Rice,2026-10-31
PYB5531-115772,CUST-BB594D,Wheat,2026-12-06
PYB0505-375637,CUST-5E9787,Wheat,2026-10-28
