barcode,customer_id,crop_type,sample_date
PYB6134-404166,c2fd6c19,Rice,2026-01-07
PYB8638-328304,d99f7500,Cotton,2026-09-15
PYB7141-642256,7aadd52f,Wheat,2026-11-13
PYB8317-560267,d99f7500,Tomatoes,2026-01-07
PYB3773-822651,918e8cc7,Corn,2026-06-29
PYB7170-777546,9122c60b,Cotton,2026-09-22
PYB2754-450121,9a0d8984,Corn,2026-10-13
PYB3654-750655,edb738a9,Rice,2026-12-06
PYB5405-725033,42a3e922,Strawberries,2026-09-21
PYB8123-870270,42a3e922,Corn,2026-12-02
PYB7282-351547,9122c60b,Soybeans,2026-12-29
PYB8533-372130,9082f197,Rice,2026-12-05
PYB0066-646184,1df5f345,Almonds,2026-06-09
PYB8146-441322,42a3e922,Wheat,2026-05-29
PYB6553-803138,7aadd52f,Wheat,2026-06-06
PYB3846-426827,5a536faf,Grapes,2026-12-14
PYB2674-620048,910659f9,Almonds,2026-04-13
PYB1461-627541,d99f7500,Corn,2026-10-02
PYB4706-465325,7376f345,Grapes,2026-08-17
PYB1505-506370,0a6751b8,Corn,2026-01-23
PYB1412-516015,2eb0ba52,Rice,2026-06-27
PYB7128-854355,82ab3e91,Almonds,2026-03-13
PYB2018-344700,918e8cc7,Cotton,2026-09-23
PYB2464-381544,42a3e922,Rice,2026-06-13
PYB7282-447320,9c105f31,Rice,2026-05-11
PYB3708-412420,1b7e9d6f,Wheat,2026-01-24
PYB5612-256686,c2fd6c19,Blueberries,2026-02-17
PYB2058-822014,edb738a9,Soybeans,2026-10-06
PYB4327-478218,7376f345,Strawberries,2026-11-11
PYB5254-828811,910659f9,Strawberries,2026-04-17
PYB4023-881806,1df5f345,Rice,2026-10-30
PYB7828-144206,910659f9,Almonds,2026-07-21
PYB3533-706632,9a0d8984,Wheat,2026-05-09
PYB0882-010781,918e8cc7,Corn,2026-06-14
PYB6135-670122,ee570c9d,Soybeans,2026-09-09
PYB8628-443180,9a0d8984,Strawberries,2026-11-28
PYB1221-068124,2eb0ba52,Strawberries,2026-06-29
PYB8665-317706,edb738a9,Soybeans,2026-05-07
PYB0671-315803,edb738a9,Soybeans,2026-10-05
PYB8214-452842,edb738a9,Cotton,2026-07-11
PYB8840-541570,9122c60b,Soybeans,2026-05-23
PYB6163-081518,ee570c9d,Almonds,2026-06-17
PYB6734-577050,2eb0ba52,Soybeans,2026-07-15
PYB2727-423465,d99f7500,Grapes,2026-02-21
PYB8765-231383,d99f7500,Tomatoes,2026-01-22
PYB1587-244222,1df5f345,Tomatoes,2026-08-31
PYB8677-807045,2eb0ba52,Rice,2026-03-05
PYB3117-228188,ee570c9d,Strawberries,2026-07-14
PYB5112-514140,9122c60b,Corn,2026-10-13
PYB6011-703546,918e8cc7,Grapes,2026-03-20
PYB5877-730568,9082f197,Soybeans,2026-05-20
PYB6551-008723,1df5f345,Tomatoes,2026-12-24
PYB4233-660487,2eb0ba52,Grapes,2026-01-13
PYB7608-678205,c2fd6c19,Rice,2026-10-03
PYB4028-325527,910659f9,Corn,2026-03-03
PYB5127-005324,9c105f31,Grapes,2026-11-27
PYB1325-680225,1b7e9d6f,Corn,2026-05-31
PYB4786-108820,82ab3e91,Grapes,2026-01-03
PYB6575-670171,9a0d8984,Grapes,2026-09-20
PYB1611-045685,0a6751b8,Wheat,2026-02-23
PYB6132-082430,ee570c9d,Wheat,2026-05-13
PYB8103-181220,9122c60b,Grapes,2026-07-03
PYB0420-223826,33c2c884,Cotton,2026-09-29
PYB6044-414185,9a0d8984,Soybeans,2026-06-02
PYB0486-281218,33c2c884,Grapes,2026-11-10
PYB6462-078005,1df5f345,Strawberries,2026-06-25
PYB0682-273207,ee570c9d,Corn,2026-05-05
PYB8071-133761,82ab3e91,Blueberries,2026-05-04
PYB5752-144301,1b7e9d6f,Wheat,2026-10-20
PYB4853-866564,7376f345,Wheat,2026-08-31
PYB5568-260485,2eb0ba52,Strawberries,2026-02-16
PYB2533-251386,9122c60b,Soybeans,2026-10-01
PYB3808-378556,9a0d8984,Tomatoes,2026-06-01
PYB2134-625008,0a6751b8,Corn,2026-05-08
PYB7724-626633,7376f345,Almonds,2026-02-05
PYB2788-637282,d99f7500,Rice,2026-12-31
PYB3003-407182,0a6751b8,Soybeans,2026-01-20
PYB3176-005701,82ab3e91,Cotton,2026-12-30
PYB4020-463234,5a536faf,Corn,2026-01-24
PYB1118-612317,9122c60b,Cotton,2026-07-04
PYB8202-573220,1df5f345,Corn,2026-02-08
PYB0350-188545,1b7e9d6f,Wheat,2026-06-29
PYB3136-565057,edb738a9,Grapes,2026-11-02
PYB5527-424186,d99f7500,Tomatoes,2026-08-04
PYB2703-506751,918e8cc7,Blueberries,2026-07-18
PYB6365-000020,9082f197,Strawberries,2026-02-13
PYB8812-655856,ee570c9d,Rice,2026-12-12
PYB4424-831578,7376f345,Strawberries,2026-05-18
PYB4723-326721,2eb0ba52,Almonds,2026-07-16
PYB7782-667784,2eb0ba52,Tomatoes,2026-11-24
PYB0177-032254,1df5f345,Corn,2026-08-18
PYB4356-013388,edb738a9,Strawberries,2026-09-26
PYB5004-551745,d99f7500,Blueberries,2026-03-09
PYB0742-230877,910659f9,Tomatoes,2026-06-17
PYB3544-546018,ee570c9d,Soybeans,2026-07-17
PYB7734-026341,9122c60b,Blueberries,2026-03-06
PYB4655-822548,7376f345,Blueberries,2026-05-21
PYB0134-843134,33c2c884,Tomatoes,2026-10-31
PYB5531-115772,42a3e922,Corn,2026-12-06
PYB0505-375637,9082f197,Tomatoes,2026-10-28
