sampl_barcode,lab_id,date_recieved,date_proccessed,ph,copper_ppm,zinc_ppm
PYB2231-557802,PSL-40 22681,2024-04-10,2024-04-18,6.16,1.23,16.0
PYB2271-078224,PSL-75 88065,2024-02-26,2024-03-03,6.34,4.97,8.73
PYB4830-354487,PSL-12 84327,2024-02-01,2024-02-05,7.09,11.9,12.5
PYB2363-312677,PSL-21 58124,2024-08-01,2024-08-08,6.60,5.16,5.89
PYB2113-488062,PSL-15 21288,2024-09-01,2024-09-09,7.74,2.36,17.6
PYB1403-425471,PSL-43 71566,2024-04-14,2024-04-20,6.59,2.03,26.9
PYB0426-058027,PSL-16 57157,2024-10-14,2024-10-19,6.35,5.34,24.0
PYB4116-734711,PSL-26 06510,2024-09-28,2024-10-09,6.50,6.80,13.8
PYB6164-808206,PSL-62 40848,2024-05-12,2024-05-22,6.63,5.00,2.57
PYB4700-573787,PSL-11 55787,2024-03-28,2024-04-05,6.72,4.03,8.44
PYB4646-543568,PSL-12 84750,2024-09-29,2024-10-07,7.54,2.23,12.5
PYB5052-005844,PSL-47 51178,2024-09-03,2024-09-14,6.08,6.72,4.58
PYB0607-782127,PSL-60 57554,2024-03-03,2024-03-08,6.93,4.34,3.93
PYB1710-165355,PSL-22 60036,2024-04-03,2024-04-08,6.60,2.69,31.4
PYB4402-414170,PSL-55 40206,2024-06-27,2024-07-04,5.71,9.73,22.3
PYB0513-216626,PSL-62 22846,2024-07-06,2024-07-14,6.89,6.15,18.4
PYB6458-434760,PSL-46 42766,2024-03-01,2024-03-08,7.13,3.59,20.7
PYB4628-770545,PSL-82 05232,2024-12-14,2024-12-19,6.07,2.10,5.25
PYB7346-663804,PSL-33 36541,2024-05-22,2024-05-31,6.50,5.05,6.83
PYB5045-512252,PSL-51 23132,2024-05-19,2024-05-30,5.64,5.49,15.4
PYB5671-810017,PSL-77 05534,2024-01-23,2024-01-25,5.87,3.81,16.2
PYB1630-304542,PSL-73 03232,2024-11-17,2024-11-21,7.02,4.99,4.35
PYB6523-086266,PSL-18 16658,2024-03-27,2024-04-03,6.27,1.87,14.7
PYB5078-888604,PSL-02 15583,2024-12-28,2025-01-02,5.95,3.75,12.6
PYB2177-461174,PSL-28 66443,2024-07-01,2024-07-06,6.61,2.13,23.5
PYB4417-663585,PSL-61 81425,2024-11-17,2024-11-26,6.24,3.37,16.3
PYB4243-501733,PSL-68 72174,2024-03-06,2024-03-12,6.26,2.30,33.6
PYB4362-613572,PSL-07 50755,2024-03-01,2024-03-06,6.87,6.19,10.2
PYB5006-635323,PSL-74 45117,2024-10-21,2024-10-25,5.92,6.75,5.54
PYB2732-462845,PSL-14 22573,2024-10-27,2024-10-31,6.05,5.36,33.1
PYB8316-048364,PSL-12 17230,2024-07-18,2024-07-23,6.58,2.47,16.8
PYB1240-337173,PSL-48 35116,2024-01-12,2024-01-19,6.98,1.39,12.7
PYB5528-206584,PSL-04 20480,2024-12-12,2024-12-18,7.12,6.81,7.03
PYB0032-817112,PSL-74 60708,2024-05-24,2024-06-02,6.17,4.29,10.3
PYB1324-401110,PSL-53 05056,2024-12-09,2024-12-13,6.97,0.675,9.95
PYB2422-442130,PSL-22 12125,2024-11-15,2024-11-20,6.11,4.76,5.35
PYB4830-611178,PSL-27 76428,2024-11-08,2024-11-19,7.41,5.52,1.85
PYB5555-486038,PSL-14 46478,2024-09-09,2024-09-15,5.93,0.961,9.78
PYB3175-531338,PSL-37 18173,2024-09-04,2024-09-10,7.16,6.27,21.0
PYB2138-436528,PSL-81 48020,2024-07-14,2024-07-22,6.17,1.13,28.3
PYB5038-355671,PSL-23 52118,2024-01-10,2024-01-23,7.51,2.24,24.1
PYB4416-142172,PSL-81 10866,2024-05-22,2024-05-29,6.80,1.14,25.0
PYB2770-267840,PSL-25 06526,2024-09-25,2024-10-05,5.99,2.04,5.87
PYB7116-501526,PSL-53 10822,2024-10-25,2024-10-29,6.24,1.40,15.6
PYB3543-364551,PSL-62 36550,2024-07-24,2024-08-03,6.89,8.60,18.5
PYB8567-867462,PSL-44 51166,2024-09-17,2024-09-22,7.03,3.54,19.3
PYB6082-501872,PSL-72 82518,2024-01-08,2024-01-12,6.46,2.96,12.5
PYB1781-526312,PSL-27 27401,2024-06-20,2024-06-27,6.52,9.16,14.4
PYB4708-578106,PSL-61 24215,2024-07-05,2024-07-12,6.88,8.84,23.7
PYB1148-741361,PSL-66 81328,2024-11-23,2024-12-02,6.57,3.16,18.1
