Contact:,lab@testing.com,"","","","","","","","","","","","","","","","",""
Generated:,2024-10-15,"","","","","","","","","","","","","","","","",""
Lab Name:,Premium Soil Testing,"","","","","","","","","","","","","","","","",""
Sampl_Barcode,lab_id,DATE_RECEIVED,Date_Proccessed,acidity,cu_totl,ZN_TOTL,pb_total,fe_total,Mn_Totl,b_total,mo_totl,ec_ms_cm,Organic_Carbon_Pct,"","","","",""
PYB2475-266277,AT6480 68463,2024-05-12,2024-05-19,6.46,6.63,29.5,4.22,103.,3.56,0.759,0.186,1.44,0.30,"","","","",""
PYB5233-121161,AT5845 84166,2024-09-18,2024-09-23,6.31,0.575,12.1,0.618,84.6,42.9,1.58,0.525,3.19,0.388,"","","","",""
PYB4307-856277,AT2602 75551,2024-04-10,2024-04-16,7.49,1.30,44.1,2.87,155.,34.0,1.38,0.172,3.00,0.569,"","","","",""
PYB3685-121281,AT8278 25053,2024-11-20,2024-11-27,6.50,2.56,25.3,3.17,71.6,12.5,1.40,"",4.04,0.401,"","","","",""
PYB8244-112064,AT0680 87482,2024-10-13,2024-10-22,6.86,8.76,10.8,5.92,116.,41.3,0.947,0.455,2.49,0.30,"","","","",""
PYB7737-035467,AT6657 77585,2024-09-07,2024-09-17,6.23,4.42,7.29,0.887,141.,34.1,1.27,0.368,2.01,0.30,"","","","",""
PYB3257-872153,AT5128 44722,2024-04-01,2024-04-04,6.84,4.55,22.5,4.15,25.8,30.8,0.665,0.0938,3.45,0.30,"","","","",""
PYB5843-735143,AT0246 23174,2024-08-16,2024-08-23,5.77,1.18,13.0,2.03,62.6,1.00,1.15,"",1.55,0.30,"","","","",""
PYB1161-100345,AT1537 27616,2024-10-28,2024-11-05,6.27,2.79,6.99,0.138,103.,53.7,0.189,"",3.80,0.364,"","","","",""
PYB5482-607331,AT6414 51364,2024-01-27,2024-02-01,5.90,7.90,13.7,1.82,132.,15.3,0.573,0.179,3.80,0.30,"","","","",""
PYB4381-387647,AT8173 28542,2024-03-06,2024-03-12,6.20,5.40,2.11,2.00,171.,41.3,1.07,0.446,4.01,0.30,"","","","",""
PYB2753-140623,AT7011 50716,2024-07-08,2024-07-14,7.13,6.81,16.6,0.412,89.2,23.8,2.15,0.235,2.95,0.30,"","","","",""
PYB1431-763076,AT7720 64815,2024-05-11,2024-05-18,6.19,4.06,18.7,2.47,84.2,32.2,0.48,0.321,1.92,0.30,"","","","",""
PYB5504-158456,AT1406 50436,2024-09-17,2024-09-21,6.86,7.96,4.98,3.44,56.4,63.0,0.703,0.0921,2.63,0.30,"","","","",""
PYB8022-646486,AT4474 77786,2024-05-27,2024-05-31,7.26,1.17,27.0,2.36,116.,50.6,1.29,0.209,2.96,0.875,"","","","",""
PYB0880-387440,AT5417 67642,2024-12-31,2025-01-07,6.49,3.54,23.5,1.19,85.1,62.6,1.91,0.169,1.83,0.487,"","","","",""
PYB5532-742342,AT8675 40062,2024-04-19,2024-04-26,7.00,6.00,15.6,1.78,86.3,46.6,1.28,0.334,4.10,0.30,"","","","",""
PYB5762-446642,AT0651 44053,2024-05-12,2024-05-17,6.77,0.81,6.09,1.99,95.3,47.9,1.48,0.314,3.20,0.30,"","","","",""
PYB5168-637447,AT7170 67321,2024-01-02,2024-01-08,6.56,0.171,19.4,2.33,128.,4.38,1.06,0.369,1.43,0.301,"","","","",""
PYB1764-061873,AT3661 05586,2024-03-31,2024-04-11,6.88,13.4,9.68,3.66,71.8,33.6,0.996,0.226,4.76,0.30,"","","","",""
PYB3040-852704,AT4554 61773,2024-03-27,2024-04-02,7.42,4.46,14.5,2.41,61.4,35.5,1.23,0.160,2.62,0.611,"","","","",""
PYB1022-686653,AT4471 35621,2024-10-06,2024-10-16,6.18,0.719,20.6,0.00,122.,64.5,0.937,0.327,1.19,0.30,"","","","",""
PYB2845-046457,AT4560 03501,2024-05-03,2024-05-12,6.02,4.38,3.87,1.16,5.00,29.9,1.49,0.146,1.50,0.30,"","","","",""
PYB0873-602057,AT3260 71385,2024-03-15,2024-03-22,5.99,1.32,2.87,2.25,69.8,45.3,0.557,0.462,4.29,0.30,"","","","",""
PYB5618-146785,AT8060 52618,2024-04-25,2024-05-05,7.00,1.83,9.00,3.69,42.4,44.5,1.56,0.283,4.69,0.30,"","","","",""
PYB5356-553103,AT4450 26884,2024-07-25,2024-08-02,7.06,8.97,39.5,3.95,160.,63.2,1.22,0.251,3.71,0.30,"","","","",""
PYB3586-758815,AT2443 37306,2024-10-15,2024-10-21,6.23,2.62,45.2,4.66,78.0,37.3,1.11,0.369,4.08,0.30,"","","","",""
PYB4850-111074,AT5358 87504,2024-12-25,2024-12-27,5.43,2.60,16.3,2.20,72.0,56.6,0.543,0.289,3.96,0.30,"","","","",""
PYB6854-264601,AT7768 40427,2024-01-18,2024-01-26,6.16,1.27,23.9,3.14,97.6,5.90,0.808,0.0513,3.17,0.632,"","","","",""
PYB1642-258846,AT6331 02228,2024-11-04,2024-11-11,6.77,3.11,12.5,0.00,70.2,7.72,1.68,0.141,2.89,0.30,"","","","",""
PYB0803-681510,AT6417 54447,2024-05-22,2024-06-01,6.47,4.69,13.7,2.64,79.9,1.00,1.12,0.459,3.15,0.43,"","","","",""
PYB3528-534415,AT6468 28518,2024-10-23,2024-10-27,6.59,2.62,11.0,0.387,105.,55.7,1.31,0.313,3.38,0.30,"","","","",""
PYB7338-520755,AT6318 70512,2024-01-14,2024-01-23,6.24,15.7,25.8,1.91,78.9,53.5,0.848,0.0478,1.61,0.363,"","","","",""
PYB2146-248122,AT5243 57172,2024-08-17,2024-08-22,7.01,1.61,32.8,6.54,78.5,57.9,1.19,0.353,3.38,0.329,"","","","",""
PYB8488-302430,AT0421 37561,2024-12-07,2024-12-16,6.67,1.60,13.4,2.46,49.5,26.5,0.651,0.216,4.25,0.512,"","","","",""
PYB8258-460678,AT0367 04361,2024-01-15,2024-01-22,6.79,3.01,13.6,0.704,42.3,28.7,1.24,0.169,2.25,0.30,"","","","",""
PYB0208-244682,AT4747 55282,2024-10-17,2024-10-22,6.58,14.5,11.4,2.61,103.,37.6,1.35,0.128,2.12,0.30,"","","","",""
PYB7210-357743,AT8847 66010,2024-02-11,2024-02-16,6.76,6.89,33.3,1.22,115.,68.9,1.33,0.45,3.07,0.30,"","","","",""
PYB1836-588651,AT0710 82784,2024-12-26,2024-12-31,6.73,2.54,22.1,0.559,28.6,73.9,0.839,0.0100,1.72,0.401,"","","","",""
PYB0466-247038,AT8811 35711,2024-09-30,2024-10-07,6.04,2.54,5.98,5.15,138.,55.9,1.06,0.174,0.92,0.348,"","","","",""
PYB1246-272350,AT2283 70072,2024-11-30,2024-12-04,6.69,1.55,38.8,3.60,138.,46.6,1.41,0.318,3.88,0.514,"","","","",""
PYB6672-380444,AT0510 34450,2024-11-25,2024-12-03,6.90,2.94,1.32,2.52,149.,66.7,1.12,0.537,1.96,0.30,"","","","",""
PYB3618-818203,AT2325 25853,2024-04-25,2024-05-07,7.08,3.46,31.3,1.41,115.,34.9,1.09,0.383,2.52,0.30,"","","","",""
PYB7757-275112,AT3562 06505,2024-06-01,2024-06-09,6.71,6.66,24.5,1.53,132.,32.2,1.96,0.173,1.77,0.30,"","","","",""
PYB0282-582642,AT0560 61263,2024-09-10,2024-09-16,6.02,5.69,13.5,4.31,209.,37.4,0.82,0.529,4.03,0.30,"","","","",""
PYB8537-877232,AT8880 11536,2024-03-05,2024-03-14,6.09,2.86,13.2,2.46,84.9,20.4,1.63,"",3.52,0.30,"","","","",""
PYB6755-613608,AT2155 62485,2024-04-22,2024-04-30,6.28,11.0,11.8,0.00,47.7,36.5,0.738,0.34,2.21,0.30,"","","","",""
PYB1757-646358,AT8306 40121,2024-02-06,2024-02-10,6.59,2.25,6.21,5.63,23.3,17.7,1.46,0.373,1.08,0.30,"","","","",""
PYB0304-704371,AT6520 08306,2024-11-21,2024-12-02,6.44,0.980,36.9,2.27,188.,60.5,1.48,"",2.08,0.30,"","","","",""
PYB1034-841603,AT7186 26351,2024-03-31,2024-04-09,5.94,4.86,13.0,2.52,188.,50.9,0.996,0.405,3.18,0.30,"","","","",""
PYB5254-828561,AT2670 15866,2024-05-30,2024-06-04,5.94,8.51,6.12,3.63,53.8,68.6,0.713,0.223,2.73,0.30,"","","","",""
PYB0642-823688,AT3067 34242,2024-06-15,2024-06-19,5.45,3.93,35.6,2.70,63.6,7.41,0.412,"",2.63,0.30,"","","","",""
PYB5006-416807,AT3152 64812,2024-05-17,2024-05-28,5.00,1.22,17.5,3.12,83.8,78.0,0.954,0.0241,2.75,0.30,"","","","",""
PYB3362-183161,AT2506 76144,2024-10-12,2024-10-16,6.43,4.56,18.2,1.36,161.,8.55,1.41,0.350,3.41,0.30,"","","","",""
PYB6043-848247,AT3467 22134,2024-12-01,2024-12-06,7.66,5.01,40.5,0.155,35.6,16.0,0.769,0.238,2.45,0.30,"","","","",""
PYB1866-277250,AT6210 00166,2024-07-29,2024-08-08,7.40,5.41,19.9,2.42,5.00,27.6,1.24,0.472,3.04,0.446,"","","","",""
PYB3154-468111,AT8448 15742,2024-11-03,2024-11-07,6.01,4.63,8.18,4.15,208.,66.2,0.609,0.293,1.32,0.301,"","","","",""
PYB8001-658134,AT5825 02641,2024-02-10,2024-02-22,6.57,9.30,19.9,1.03,116.,44.5,1.11,0.487,5.56,0.656,"","","","",""
PYB0871-743842,AT3178 02776,2024-12-20,2024-12-27,5.77,1.51,6.67,0.908,123.,35.1,0.741,"",2.16,0.444,"","","","",""
PYB7616-523716,AT6738 72046,2024-02-12,2024-02-18,5.84,0.100,9.37,3.83,89.7,24.1,1.17,"",2.74,0.30,"","","","",""
PYB7822-845445,AT7136 06202,2024-01-25,2024-01-30,5.90,0.576,16.0,1.31,123.,12.5,1.00,0.418,3.18,0.30,"","","","",""
PYB3335-746363,AT6704 16783,2024-01-09,2024-01-15,6.39,1.20,23.7,1.38,24.3,62.7,0.724,0.419,2.01,0.690,"","","","",""
