sample-barcode,#lab_id,date-received,date-processed,acidity,cu-total,zn-total
PYB6341-606504,AT6416 17055,2024-02-23,2024-02-28,6.90,1.74,13.9
PYB2406-437551,AT3635 25683,2024-07-23,2024-07-28,6.49,6.57,8.00
PYB4685-160287,AT4478 57067,2024-02-23,2024-02-25,6.60,1.89,22.1
PYB8366-288064,AT6585 71537,2024-09-06,2024-09-13,6.15,2.10,13.6
PYB6420-477273,AT7714 08254,2024-04-04,2024-04-09,6.41,20.2,10.6
PYB5244-644534,AT8765 18043,2024-07-26,2024-08-04,7.09,3.87,13.7
PYB0717-680103,AT3825 18630,2024-07-16,2024-07-21,6.15,1.16,10.8
PYB8667-072666,AT1237 15305,2024-08-20,2024-08-28,5.99,6.77,17.0
PYB3545-431367,AT6842 72680,2024-10-05,2024-10-11,6.47,9.44,5.01
PYB0146-120016,AT8142 16444,2024-07-24,2024-07-31,5.93,7.20,17.0
PYB7418-211363,AT6841 24021,2024-11-08,2024-11-17,5.64,3.62,10.7
PYB4386-534757,AT8374 48622,2024-04-05,2024-04-13,6.33,3.71,22.4
PYB0786-852551,AT5010 63065,2024-10-02,2024-10-05,7.22,2.73,26.0
PYB1241-608633,AT6171 55130,2024-05-05,2024-05-10,6.48,1.56,29.4
PYB6064-185153,AT4624 82214,2024-08-18,2024-08-29,6.59,5.26,42.2
PYB6488-031414,AT1725 12140,2024-06-29,2024-07-07,5.43,3.48,28.8
PYB1548-754661,AT0442 33647,2024-11-29,2024-12-10,6.72,1.28,22.0
PYB3820-785533,AT1130 63340,2024-04-09,2024-04-19,6.55,3.95,5.57
PYB8742-104467,AT3855 44883,2024-07-09,2024-07-17,6.17,2.35,1.78
PYB3176-404574,AT8022 65424,2024-03-01,2024-03-07,6.59,5.06,23.8
PYB4330-063738,AT2437 61853,2024-08-20,2024-08-26,6.59,4.71,7.04
PYB1157-142655,AT4103 73388,2024-01-14,2024-01-21,5.97,3.12,59.7
PYB2253-612002,AT4066 88502,2024-05-31,2024-06-05,6.67,4.09,3.98
PYB4107-466057,AT6533 63183,2024-01-04,2024-01-08,7.10,4.35,21.4
PYB4784-057574,AT2048 12105,2024-04-30,2024-05-13,6.39,7.83,14.6
PYB3814-158826,AT2635 02303,2024-06-26,2024-07-03,6.07,3.98,4.37
PYB7741-465315,AT4347 60587,2024-05-01,2024-05-06,6.41,2.79,14.6
PYB3480-288281,AT2773 75667,2024-05-21,2024-05-30,6.93,3.36,7.69
PYB0240-175582,AT8735 57326,2024-02-24,2024-03-02,5.89,12.5,12.2
PYB8387-114422,AT8818 71018,2024-09-19,2024-09-21,6.79,1.95,12.3
PYB8616-140512,AT6553 81217,2024-10-19,2024-10-25,6.16,3.53,7.77
PYB1104-727420,AT4681 81667,2024-06-15,2024-06-22,6.62,3.49,10.1
PYB7030-682254,AT1870 57432,2024-01-21,2024-01-31,6.22,3.61,7.25
PYB3312-566465,AT4856 77362,2024-01-23,2024-01-31,6.22,1.51,3.06
PYB3342-610401,AT5286 54472,2024-09-04,2024-09-11,7.26,3.35,13.8
PYB3024-380655,AT7216 63567,2024-12-06,2024-12-09,5.80,2.67,28.7
PYB6072-523687,AT8732 05560,2024-11-13,2024-11-16,6.74,5.05,7.56
PYB6448-185557,AT6764 04555,2024-05-28,2024-06-08,7.37,8.60,37.5
PYB6076-888058,AT4425 24368,2024-07-01,2024-07-06,6.84,5.33,42.1
PYB8487-075518,AT5162 01831,2024-02-29,2024-03-08,5.83,4.47,9.54
PYB2328-410826,AT1563 03512,2024-01-26,2024-02-01,5.86,5.71,11.1
PYB0852-828540,AT0411 16483,2024-10-08,2024-10-15,6.12,4.78,9.67
PYB2070-118860,AT1185 25516,2024-06-06,2024-06-13,6.58,4.06,5.63
PYB4807-074737,AT1164 10561,2024-07-01,2024-07-09,6.61,7.63,11.2
PYB7254-372147,AT3387 24831,2024-05-05,2024-05-13,5.86,3.28,10.3
PYB1364-547743,AT2582 01300,2024-04-24,2024-05-03,6.06,1.49,13.7
PYB2374-636648,AT5724 56872,2024-12-27,2025-01-03,6.09,2.60,14.1
PYB7128-327510,AT8081 11145,2024-10-26,2024-11-07,6.41,2.33,5.31
PYB7637-170575,AT6021 16512,2024-09-10,2024-09-20,7.49,14.8,18.8
PYB7322-122611,AT8528 12640,2024-05-22,2024-05-24,6.03,8.94,11.1
